Element;N612-1;N612-2;N612-3;N610-4;L46colobodus1-5;L46colobodus2-6;L46colobodus3-7;L46Big1-8;L46Big2-9;N612-10;N610-11;L46Big3-12;L4NS1-13;L4NS2-14;L4SR-15;L4SR2-16;N612-17;N610-18;l4colobodus1-19;L4colobodus2-20;L4NSbroken1-21;N610-22;N612-23;N612-24
Ca43;85262.51;85262.51;85262.51;81476.84;285880.38;285880.38;285880.38;<734295.00;285880.38;85262.51;81476.84;285880.38;285880.38;285880.38;285880.38;285880.38;85262.51;81476.84;285880.38;285880.38;285880.38;81476.84;85262.51;85262.51
Ca44;80388.07;79569.31;79113.69;77464.34;300366.81;308889.41;302225.81;134961.63;269933.28;81032.77;87364.71;<-20244.09;349932.13;281016.97;305050.22;340468.19;97163.04;82232.41;314797.16;308393.06;336634.28;79911.08;92841.10;100059.80
Cr52;33.52;32.28;34.17;369.63;<1.40;4.46;<1.37;<755.17;101.87;40.34;473.47;<-147.03;<1.81;<1.46;2.96;1.98;44.36;421.21;4.38;<2.49;8.46;391.59;39.12;48.41
Ni60;30.38;46.88;42.17;445.23;<12.70;<19.10;26.35;<7721.73;<250.68;<17.05;515.96;-540.73;<17.87;<14.39;<19.62;<18.46;<18.72;379.74;<20.14;<23.35;<43.13;480.52;35.78;47.98
Cu63;36.56;44.53;36.27;385.51;37.94;74.63;20.73;<528.13;154.97;1324.21;565.21;<-110.78;13.14;13.05;6.89;13.34;41.38;452.31;20.52;27.23;121.98;419.18;39.46;48.48
Zn66;33.17;36.51;37.94;406.66;50.88;45.06;34.58;<1200.12;52.14;180.57;548.91;<-181.93;11.11;22.04;119.26;159.63;47.24;477.97;37.71;85.32;23.33;437.60;48.39;49.88
As75;34.22;37.08;26.96;280.80;21.56;20.58;23.56;<668.41;52.69;14.59;401.87;<-120.76;48.01;36.66;7.63;4.57;39.31;345.78;4.54;8.35;58.28;304.51;33.36;39.79
Sr87;48.90;47.37;40.20;463.69;333.05;482.39;291.82;<651.37;689.44;64.13;570.67;<-140.88;969.68;780.34;1559.02;1854.47;46.24;593.38;850.18;2566.93;1476.74;479.35;65.06;63.84
Sr88;73.27;75.71;59.42;470.71;1376.20;1939.29;1203.84;<280.02;2369.90;100.79;556.48;<-60.89;4674.75;3821.93;6478.03;8424.57;74.41;586.67;3472.08;12780.74;6364.56;484.24;110.57;94.19
Cd111;24.37;26.52;23.72;268.05;<0.89;<1.25;1.55;<747.06;<22.13;36.83;266.20;58.36;24.31;<1.27;5.83;20.05;29.78;285.56;<2.37;<1.69;<3.88;263.69;43.00;33.19
Ba137;43.09;44.03;28.61;488.23;30.98;35.73;21.84;<1113.87;1563.90;56.06;403.00;<-217.57;41.84;33.48;165.64;135.30;28.44;511.89;31.57;60.98;57.11;440.52;57.07;30.68
Ba138;40.26;39.43;33.04;503.13;42.24;38.72;38.01;<271.57;1288.69;56.85;397.08;<-53.02;49.96;49.28;166.29;138.71;36.76;515.99;36.73;59.19;53.97;442.24;55.68;36.19
Pb208;36.52;39.03;37.50;423.32;57.37;59.69;56.98;2.90;61.56;56.23;426.42;<-3.01;2245.83;2202.43;22.28;4.04;42.51;432.94;156.60;122.98;1398.01;422.36;45.74;42.88
