Element;N612-1;N612-2;N612-3;N610-4;L46colobodus1-5;L46colobodus2-6;L46colobodus3-7;L46Big1-8;L46Big2-9;N612-10;N610-11;L46Big3-12;L4NS1-13;L4NS2-14;L4SR-15;L4SR2-16;N612-17;N610-18;l4colobodus1-19;L4colobodus2-20;L4NSbroken1-21;N610-22;N612-23;N612-24
Ca43;1447.02;1637.53;2141.83;2045.08;1517.53;2251.45;1368.80;734295.00;24906.48;1715.07;2131.22;<0.00000;1765.05;1386.52;1846.39;1750.48;1578.10;2243.52;1813.05;2136.64;3799.27;2120.13;2931.81;2089.68
Ca44;181.17;208.26;274.69;266.16;204.99;300.69;189.48;103994.81;3562.48;247.10;302.15;<0.00000;255.77;206.84;277.90;263.73;249.31;347.36;289.67;332.38;607.46;317.15;431.35;311.86
Cr52;1.20;1.39;1.82;1.86;1.40;2.10;1.37;755.17;25.25;1.74;2.11;<0.00000;1.81;1.46;1.97;1.94;1.84;2.54;2.13;2.49;4.55;2.70;2.61;1.92
Ni60;10.91;12.08;15.97;16.57;12.70;19.10;12.81;7721.73;250.68;17.05;20.63;<0.00000;17.87;14.39;19.62;18.46;18.72;24.55;20.14;23.35;43.13;11.80;20.41;15.68
Cu63;0.779;0.725;1.24;1.26;0.855;1.40;0.883;528.13;18.25;1.30;1.55;<0.00000;1.38;1.20;1.72;1.60;1.61;2.15;1.79;2.10;4.19;1.43;2.11;1.66
Zn66;1.50;1.77;1.84;2.51;1.77;3.30;1.95;1200.12;40.32;2.74;3.00;<0.00000;2.79;1.77;3.25;3.17;2.84;4.28;3.55;4.20;7.05;3.55;4.66;3.91
As75;0.923;0.822;1.48;1.61;1.22;1.53;1.17;668.41;18.34;1.44;1.71;<0.00000;1.69;1.21;1.71;1.48;1.46;1.90;1.61;2.36;3.37;1.11;2.27;1.75
Sr87;1.12;1.34;1.66;1.60;1.22;1.95;1.24;651.37;23.21;1.56;2.00;<0.00000;1.78;1.50;2.08;2.12;1.87;2.67;2.23;2.71;4.88;2.67;3.21;2.50
Sr88;0.370;0.424;0.572;0.625;0.494;0.734;0.529;280.02;10.26;0.690;0.890;<0.00000;0.805;0.680;0.955;0.909;0.944;1.28;1.08;1.30;2.45;0.777;1.32;0.993
Cd111;0.916;0.967;1.00;1.28;0.893;1.25;0.660;747.06;22.13;1.59;1.79;<0.00000;1.47;1.27;1.94;1.32;2.37;1.80;2.37;1.69;3.88;1.70;3.17;1.96
Ba137;1.31;1.57;2.23;2.31;1.90;2.81;1.83;1113.87;37.78;2.53;3.25;<0.00000;2.87;2.37;3.38;2.97;3.39;4.48;3.50;4.39;7.59;2.69;4.42;3.59
Ba138;0.371;0.413;0.564;0.591;0.462;0.686;0.463;271.57;9.28;0.640;0.780;<0.00000;0.690;0.574;0.791;0.745;0.765;1.01;0.841;1.00;1.90;0.652;1.04;0.791
Pb208;0.0209;0.0268;0.0449;0.0614;0.0248;0.0486;0.0402;<0.00000;0.403;0.0383;0.0590;<0.00000;0.0170;0.0504;0.0536;0.0568;0.0394;0.0673;0.0583;0.0481;0.0435;0.0363;0.0807;0.0545
