Element;N610-1;N610-2;N610-3;N612-4;L4GL1-5;L4SR21-6;L14GL-7;L14GL2-8;L14GL21-9;N610-10;N612-11;L36GL-12;N610-13;N610-14;N612-15;N612-16
Ca43;81476.82;81476.83;81476.83;85049.41;285880.38;285880.38;285880.38;285880.38;285880.38;81476.84;85049.41;285880.38;81476.84;81476.84;85049.43;85049.42
Ca44;79968.48;82913.91;84161.30;87065.48;292584.84;288326.91;316553.53;411993.72;1057577.75;75895.71;87947.35;368607.72;85354.36;80771.53;87369.80;94006.16
Cr52;395.03;418.66;433.70;33.05;<2.66;5.45;792.09;24.44;135.21;365.46;38.19;<1.15;444.82;400.13;32.79;44.76
Ni60;455.56;448.28;498.91;39.33;<22.99;<17.78;<716.56;<43.54;<467.37;380.90;39.13;<13.59;551.25;425.91;64.30;59.10
Cu63;429.46;435.64;479.89;49.59;4.87;35.98;3588.39;64.06;4221.62;399.03;67.01;162.96;520.81;410.52;76.25;64.04
Zn66;464.46;437.85;486.94;29.33;126.97;21.45;1193.02;50.41;1292.37;435.06;35.46;85.62;541.92;418.17;39.14;73.50
As75;324.90;314.39;346.63;24.02;8.49;31.66;161.09;33.47;198.63;295.46;31.08;21.19;392.67;295.65;34.56;54.27
Sr87;537.52;456.27;551.61;26.78;1481.23;950.68;577.96;1957.13;304.07;564.41;36.85;607.50;580.61;463.76;48.18;72.20
Sr88;542.79;456.42;545.96;46.96;6230.87;3781.98;2189.74;8360.17;7134.20;574.65;60.49;2313.63;548.92;477.97;72.43;120.16
Cd111;284.48;238.58;290.32;14.59;5.05;<1.35;<44.49;25.47;105.12;296.87;24.13;<1.41;284.60;248.87;22.67;51.87
Ba137;490.03;404.58;463.01;34.56;46.96;30.02;1712.24;151.85;<68.04;526.34;34.30;168.20;423.49;457.69;46.44;44.43
Ba138;480.14;414.26;455.68;38.39;50.41;43.24;894.47;155.60;313.48;532.46;36.89;200.76;418.08;465.69;45.02;38.22
Pb208;426.74;423.09;436.74;40.10;442.75;1462.24;96.10;13.49;244.37;411.18;39.27;47.64;428.53;429.68;42.79;39.69
