Element;N610-1;N610-2;N610-3;N612-4;L4GL1-5;L4SR21-6;L14GL-7;L14GL2-8;L14GL21-9;N610-10;N612-11;L36GL-12;N610-13;N610-14;N612-15;N612-16
Ca43;3370.31;3279.23;3313.51;2186.89;3608.16;2427.26;88382.57;5237.58;51030.46;2627.37;2057.53;1292.98;1973.89;1931.12;2785.42;2367.62
Ca44;431.25;421.68;426.06;282.35;475.32;324.00;12101.61;714.82;7182.99;364.32;281.15;179.71;274.96;274.27;390.26;330.30
Cr52;2.21;2.14;2.16;1.48;2.66;1.91;71.95;4.16;42.95;2.24;1.68;1.15;1.74;1.66;2.40;2.00
Ni60;13.88;14.89;16.10;11.36;22.99;17.78;716.56;43.54;467.37;24.62;18.85;13.59;21.07;20.81;29.49;25.50
Cu63;1.04;1.14;1.18;0.877;1.74;1.28;53.85;3.30;33.59;1.81;1.54;0.991;1.59;1.65;2.40;1.92
Zn66;2.50;3.20;3.41;2.22;4.08;3.46;112.71;7.14;71.56;3.46;2.86;1.77;3.16;3.06;4.88;4.08
As75;1.36;1.65;1.78;0.909;1.93;1.28;51.13;3.01;32.38;1.83;1.76;1.11;1.29;1.96;2.99;1.65
Sr87;2.02;2.00;2.14;1.45;2.58;1.72;65.45;4.23;43.31;2.28;1.81;1.15;1.92;1.83;2.97;2.59
Sr88;0.555;0.569;0.639;0.432;0.881;0.680;28.83;1.69;18.82;0.955;0.754;0.552;0.845;0.872;1.27;1.04
Cd111;0.542;0.549;1.68;1.05;2.04;1.35;44.49;3.89;34.71;2.17;2.03;1.41;1.25;1.66;3.37;1.95
Ba137;2.34;2.64;2.63;1.95;3.40;2.84;104.08;6.85;68.04;3.63;2.80;1.95;3.00;2.94;4.22;3.40
Ba138;0.591;0.614;0.664;0.456;0.913;0.686;27.15;1.63;17.27;0.890;0.678;0.483;0.733;0.710;1.01;0.850
Pb208;0.0415;0.0556;0.0617;0.0363;0.0432;0.0350;3.34;0.112;1.40;0.0717;0.0612;0.0171;0.0457;0.0991;0.197;0.0614
