Element;N612-1;N612-2;N612-3;N610-1;1G4-5_1;1G4-5_2;H13-G2_3;H13-G2_4;H13-G2_5;H13-G2_6;H13-G2_7;N612-4;N610-2;H13-D2_8;H13-D2_9;H13-D2_10;H20-G-1-11;H20-G-1-12;H20-G-1-13;H20-G-1-14;N612-5;N610-3;H14-G-7-15;H14-G-7-16;H14-G-7-17;H14-G-7-18;H18-S-1-20;H18-S-1-21;H18-S-1-22;H18-S-1-23;H14-G-8-24;H14-G-8-25;N612-6;N612-7;N610-4;N610-5;H14-G-1-26;H14-G-1-27;H14-G-1-28;H14-G-1-29;H14-G-1-30;H14-G-1-31;H14-G-1-32;H14-G-1-33;H14-G-1-34;H14-G-1-35;N612-8;N612-9;N610-6;H13-D-1-36;H13-D-1-37;H13-D-1-38;H13-D-1-39;N610-7;N612-10;N612-11;N612-12
Ca43;161,12;395,62;182,74;129,77;654,35;806,67;1312,62;1642,85;1382,29;1505,54;1485,3;152,78;166,53;581,27;654,08;618,81;716,84;851,19;739,7;798,62;154,72;164,06;1298,88;691,83;770,8;1130,44;1138,88;1040,58;1114,06;1356,09;1740,06;3128,41;237,75;186,05;174,3;197,54;1033,62;1062,85;919,09;1544,52;1489,37;1215,01;1072,09;1083,04;1214,52;2118,86;157,6;187,43;173,78;638,56;628,97;623,82;634,1;158,8;164,54;166,48;164,36
Ca44;28,05;62,62;32,71;23,24;116,42;147,4;238,82;308,54;269,04;301,23;294,35;31,85;33,7;114,72;135,12;128,95;152,32;181,95;157,63;171,44;34,11;35,57;277,98;158,59;172,3;194,65;213,25;202,88;223,14;271,34;366,14;486,32;43,43;33,32;33,99;34,6;206,16;212,77;189,06;314,72;250,1;251,6;234,08;227,99;259,39;422,81;34,09;40,28;37,31;138,49;142,01;137,97;141,31;35,94;35,81;36,09;35,23
Cr52;0,211;0,468;0,247;0,178;0,898;1,08;1,81;2,31;1,99;2,21;2,16;0,225;0,245;0,851;1,01;0,934;1,08;1,3;1,11;1,24;0,241;0,252;1,94;1,09;1,19;1,35;1,47;1,43;1,59;1,87;2,51;3,43;0,3;0,232;0,231;0,249;1,45;2,55;1,3;2,21;1,72;1,79;1,58;1,54;1,75;2,93;0,232;0,277;0,258;0,894;0,935;0,945;0,964;0,242;0,251;0,243;0,258
Ni60;2,73;6,06;3,15;2,14;10,92;13,78;22,49;28,8;25,16;28,14;27,33;2,93;3,1;10,42;12,28;11,63;13,85;16,62;14,35;15,37;3,07;3,2;24,38;13,77;15,26;17,44;18,82;18,31;20,2;24,49;32,88;43,71;3,85;3,07;3,03;3,21;18,67;19,05;17,08;28,5;22,64;23,01;20,87;19,93;22,61;37,92;3,03;3,66;3,3;12,27;12,61;12,36;12,59;3,16;3,33;3,36;3,31
Cu63;0,0707;0,121;0,218;0,0595;0,246;0,367;0,516;0,739;0,618;0,736;0,668;0,0832;0,0909;0,278;0,378;0,342;0,413;0,459;0,458;0,508;0,086;0,0722;0,659;0,434;0,385;0,532;1,08;0,529;0,613;0,632;1,07;4,13;0,111;0,0854;0,0704;0,0777;0,503;0,557;0,45;0,824;0,617;0,667;0,533;0,539;1,1;1,31;0,09;0,0964;0,0835;0,363;0,386;0,4;0,368;0,0876;0,0856;0,1;0,0965
Zn66;0,355;0,723;0,4;0,257;1,41;1,83;2,87;6,77;2,92;4,69;2,65;0,348;0,391;1,27;1,81;1,44;1,81;2,3;1,88;1,79;0,43;0,383;3,12;1,81;2,11;2,97;2,84;2,49;2,82;2,94;3,33;7,23;0,63;0,48;0,441;0,463;2,57;2,82;2,4;4,06;3,15;3,52;2,85;2,8;3,24;5,99;0,418;0,452;0,458;1,64;1,73;1,61;1,64;0,402;0,417;0,425;0,468
As75;0,562;1,43;0,617;0,464;2,6;3;4,77;6,66;5,56;5,93;5,82;0,624;0,722;2,8;3,02;2,85;3,13;4,12;6,15;3,73;0,774;0,769;6,24;3,53;3,85;4,72;4,19;6,77;4,63;5,61;7,68;9,83;0,727;0,653;0,684;0,895;6,18;5,25;4,14;6,94;6,91;5,91;5,01;5,03;5,86;10,45;0,776;0,902;0,805;3,47;3,39;3,25;3,27;0,841;0,92;0,892;0,883
Sr87;0,0628;0,138;0,0662;0,0609;0,309;0,414;3,19;0,696;0,468;0,605;0,795;0,0559;0,0806;0,329;0,413;0,287;0,305;0,374;0,375;0,35;0,0807;0,0845;0,764;0,377;0,276;0,425;0,483;0,461;0,511;0,657;0,662;1,57;0,102;0,0902;0,0844;0,0816;0,564;0,587;0,422;0,912;0,499;0,61;0,564;0,518;0,722;0,889;0,083;0,0555;0,0788;0,365;0,332;0,38;0,292;0,0831;0,113;0,094;0,0862
Sr88;0,0333;0,0603;0,0423;0,0262;0,129;0,165;0,282;0,414;0,346;0,362;0,37;0,0363;0,0411;0,139;0,15;0,156;0,16;0,22;0,203;0,219;0,0465;0,042;0,347;0,187;0,281;0,294;0,24;0,259;0,29;0,47;0,491;0,542;0,0489;0,0437;0,0468;0,0435;0,26;0,264;0,261;0,399;0,324;0,324;0,311;0,299;0,355;0,551;0,0493;0,0511;0,0447;0,197;0,192;0,188;0,185;0,0499;0,0521;0,0516;0,0512
Cd111;0,0569;0,171;0,0485;0,0484;<0.00000;0,297;0,342;1,13;0,566;1,42;0,438;0,0635;<0.00000;0,373;0,347;0,191;0,395;<0.00000;0,237;<0.00000;0,0887;0,107;<0.00000;0,333;<0.00000;1,2;0,642;0,441;0,489;<0.00000;<0.00000;0,974;0,0844;0,0544;0,0944;0,0806;0,574;0,34;0,525;0,668;<0.00000;0,412;<0.00000;0,634;0,416;<0.00000;<0.00000;<0.00000;<0.00000;<0.00000;0,232;0,457;0,235;0,0993;0,2;0,0901;0,127
Ba137;0,048;0,126;0,0557;0,0272;0,217;0,273;0,26;0,46;0,552;0,535;0,505;0,0414;0,0503;0,213;0,245;0,17;0,214;0,385;0,222;0,233;0,0501;0,0638;0,375;0,212;0,245;0,317;0,365;0,255;0,372;0,365;0,511;0,791;0,0612;0,044;0,0507;0,0581;0,292;0,417;0,307;0,552;0,401;0,35;0,344;0,309;0,497;0,545;0,0588;0,0454;0,0373;0,222;0,225;0,221;0,17;0,0639;0,0564;0,0611;0,0681
Ba138;0,0389;0,0404;0,0194;0,0131;0,0627;0,0886;0,152;0,173;0,168;0,183;0,168;0,0573;0,0202;0,0716;0,0859;0,0727;0,0893;0,103;0,0933;0,0976;0,0236;0,0219;0,206;0,0891;0,109;0,123;0,117;0,117;0,13;0,159;0,22;0,278;0,026;0,0216;0,0207;0,0228;0,142;0,129;0,126;0,215;0,151;0,152;0,136;0,14;0,154;0,225;0,0191;0,024;0,0224;0,092;0,0848;0,0916;0,0845;0,0207;0,0238;0,0234;0,0204
Pb208;0,00187;0,00562;0,00529;0,00224;0,0218;0,102;0,0193;0,0211;0,013;0,0291;0,0246;0,00356;0,00163;0,0107;0,0241;0,0138;0,0103;0,0175;0,0131;0,0163;0,0023;0,00452;0,0343;0,0248;0,0183;0,0189;0,0418;0,0221;0,0345;0,0132;0,0409;0,0529;0,00591;0,0557;0,00294;0,0778;0,0437;0,0333;0,0265;0,0412;0,0307;0,0179;0,0163;<0.00000;0,0221;0,0578;0,00339;0,00869;0,00458;0,0184;0,00702;0,0138;0,0201;<0.00000;0,00378;0,0079;0,00466
