Element;Genus;Layer;Specimen;Measurement;Ca43;Ca44;Cr52;Ni60;Cu63;Zn66;As75;Sr87;Sr88;Cd111;Ba137;Ba138;Pb208
N612-1;;;;;85262.51;80388.07;33.52;30.38;36.56;33.17;34.22;48.90;73.27;24.37;43.09;40.26;36.52
N612-2;;;;;85262.51;79569.31;32.28;46.88;44.53;36.51;37.08;47.37;75.71;26.52;44.03;39.43;39.03
N612-3;;;;;85262.51;79113.69;34.17;42.17;36.27;37.94;26.96;40.20;59.42;23.72;28.61;33.04;37.50
N610-4;;;;;81476.84;77464.34;369.63;445.23;385.51;406.66;280.80;463.69;470.71;268.05;488.23;503.13;423.32
L46colobodus1-5;Colobodus;46;3;1;285880.38;300366.81;<1.40;<12.70;37.94;50.88;21.56;333.05;1376.20;<0.89;30.98;42.24;57.37
L46colobodus2-6;Colobodus;46;3;2;285880.38;308889.41;4.46;<19.10;74.63;45.06;20.58;482.39;1939.29;<1.25;35.73;38.72;59.69
L46colobodus3-7;Colobodus;46;3;3;285880.38;302225.81;<1.37;26.35;20.73;34.58;23.56;291.82;1203.84;1.55;21.84;38.01;56.98
L46Birgeria1-8;Birgeria;46;5;1;<734295.00;134961.63;<755.17;<7721.73;<528.13;<1200.12;<668.41;<651.37;<280.02;<747.06;<1113.87;<271.57;2.90
L46Birgeria2-9;Birgeria;46;5;2;285880.38;269933.28;101.87;<250.68;154.97;52.14;52.69;689.44;2369.90;<22.13;1563.90;1288.69;61.56
N612-10;;;;;85262.51;81032.77;40.34;<17.05;1324.21;180.57;14.59;64.13;100.79;36.83;56.06;56.85;56.23
N610-11;;;;;81476.84;87364.71;473.47;515.96;565.21;548.91;401.87;570.67;556.48;266.20;403.00;397.08;426.42
L46Birgeria3-12;Birgeria;46;5;3;285880.38;<-20244.09;<-147.03;-540.73;<-110.78;<-181.93;<-120.76;<-140.88;<-60.89;58.36;<-217.57;<-53.02;<-3.01
L4Nothosaur1-13;Nothosaurus;4;21;1;285880.38;349932.13;<1.81;<17.87;13.14;11.11;48.01;969.68;4674.75;24.31;41.84;49.96;2245.83
L4Nothosaur2-14;Nothosaurus;4;21;2;285880.38;281016.97;<1.46;<14.39;13.05;22.04;36.66;780.34;3821.93;<1.27;33.48;49.28;2202.43
L4Saurichthys-15;Saurichthys;14;33;1;285880.38;305050.22;2.96;<19.62;6.89;119.26;7.63;1559.02;6478.03;5.83;165.64;166.29;22.28
