Element;N612-1;N612-2;N612-3;N610-1;1G4-5_1;1G4-5_2;H13-G2_3;H13-G2_4;H13-G2_5;H13-G2_6;H13-G2_7;N612-4;N610-2;H13-D2_8;H13-D2_9;H13-D2_10;H20-G-1-11;H20-G-1-12;H20-G-1-13;H20-G-1-14;N612-5;N610-3;H14-G-7-15;H14-G-7-16;H14-G-7-17;H14-G-7-18;H18-S-1-20;H18-S-1-21;H18-S-1-22;H18-S-1-23;H14-G-8-24;H14-G-8-25;N612-6;N612-7;N610-4;N610-5;H14-G-1-26;H14-G-1-27;H14-G-1-28;H14-G-1-29;H14-G-1-30;H14-G-1-31;H14-G-1-32;H14-G-1-33;H14-G-1-34;H14-G-1-35;N612-8;N612-9;N610-6;H13-D-1-36;H13-D-1-37;H13-D-1-38;H13-D-1-39;N610-7;N612-10;N612-11;N612-12
Ca43;85262.48;85262.48;85262.48;81475.88;285880.28;285880.28;285880.28;285880.25;285880.28;285880.28;285880.28;85262.48;81475.88;285880.28;285880.28;285880.25;285880.31;285880.31;285880.31;285880.31;85262.48;81475.89;285880.28;285880.31;285880.31;285880.28;285880.31;285880.31;285880.31;285880.28;285880.31;285880.31;85262.48;85262.48;81475.88;81475.89;285880.34;285880.31;285880.28;285880.31;285880.31;285880.28;285880.28;285880.28;285880.31;285880.28;85262.48;85262.49;85262.38;285880.34;285880.34;285880.34;285880.34;81475.89;85262.49;85262.5;85262.49
Ca44;89730.78;84988.4;81063.55;83779.13;276712.75;242234.45;204674.48;205316.89;207110.27;204028.72;208775.67;85853.48;84092.63;282668.03;270580.41;291659.75;244751.48;219546.06;228990.88;227423.75;86795.16;80670.41;232363.59;242387.38;212736.7;215925.58;209518.73;203211.84;198339.34;207243.59;201023.72;209884.81;86174.23;86308.54;82191.15;81672.13;220816.98;214533.55;227270.64;215679.11;218439.95;211866.11;215225.45;220829.88;213570.98;206442.95;84827.14;85052.48;84351.64;263359.47;257800.05;254583.36;256505.8;79165.13;84760.86;86028.52;84003.42
Cr52;39.46;40.01;39.41;480.85;2.19;1.72;<1.81;<2.31;2.05;<2.21;<2.16;39.99;468.05;1.58;1.2;<0.93;<1.08;<1.30;<1.11;<1.24;39.72;469.89;<1.94;<1.09;10.4;2.3;<1.47;<1.43;<1.59;<1.87;4.18;<3.43;42.81;39.86;477.72;477.63;<1.45;<2.55;107.34;<2.21;2.94;<1.79;1.66;2.93;<1.75;<2.93;39.63;39.06;490.08;0.98;1.31;1.1;<0.96;466.04;40.2;40.09;38.96
Ni60;34.44;37.83;37.68;494.51;19.43;20.96;<22.49;<28.80;<25.16;<28.14;<27.33;41.85;464.13;<10.42;<12.28;<11.63;59.82;<16.62;<14.35;24.43;41.18;458.69;<24.38;<13.77;151.49;<17.44;23.67;<18.31;<20.20;<24.49;<32.88;<43.71;39.59;41.73;465.05;459.28;<18.67;24.09;<17.08;<28.50;<22.64;<23.01;<20.87;37.34;27.04;<37.92;33.36;37.81;466.18;<12.27;<12.61;<12.36;14.21;449.14;39.78;36.28;40.24
Cu63;37.25;38.44;35.19;438.22;3.99;2.03;1.69;2.1;1.64;2.25;8.21;36.41;430.71;3.18;6.77;4.41;1.88;5.3;1.31;7.54;36.33;431.24;2.02;1.72;46.02;1.57;<1.08;0.98;1.46;1.84;2.7;<4.13;36.2;36.92;436.19;431.85;0.74;0.72;0.98;<0.82;<0.62;1.19;1.1;0.72;<1.10;<1.31;37.65;36.07;450.45;0.64;1.32;0.63;2.2;432.54;37.35;37.07;35.93
Zn66;36.74;39.81;37.59;480.92;80.43;82.37;87.76;64.62;80.9;76.34;85.36;37.45;457.22;59.12;49.35;58.51;147.54;79.64;118.65;124.86;36.92;448.99;109.35;123.12;108.16;92.66;54.92;73.13;63.67;68.67;151.02;140.31;38.82;37.72;453.73;439.63;104.65;104.13;189.09;140.63;115.76;94.66;84.26;83.05;90.34;122.12;39.98;39.23;468.18;51.56;38.62;39.51;48.9;452.31;35.39;38.08;37.58
As75;36.26;37.99;37.21;334.79;7.84;10.25;9.23;<6.66;<5.56;9.06;27.95;37.67;352.95;8.63;10.67;8.07;12.3;14.17;<6.15;7.21;37.06;357.52;8.69;14.34;225.13;7.95;164.69;<6.77;7.79;8.54;10.22;15.14;38.12;38.05;351.72;344.51;132.42;<5.25;75.43;<6.94;<6.91;12.46;9.63;9.28;12.79;<10.45;37.41;37.21;363.15;9.48;9.68;12.01;9.73;350.95;37.05;37.34;36.69
Sr87;76.64;77.16;76.94;844.08;1574.51;1693.55;504.69;605.28;568.06;599.96;606.42;74.23;829.5;423.91;433.35;430.38;828.07;842.18;874.9;849.32;76.35;829.09;707.41;685.33;645.74;688.51;745.1;697.17;730.38;734.68;617.69;753.96;75.58;75.64;835.2;842.25;833.42;840.36;826.14;852.66;886.91;789.5;856.81;812.02;827.72;842.09;73.56;76.3;876.65;378.85;387.66;386.91;384.29;845.48;76.81;76.69;78.26
Sr88;77.2;76.62;75.65;527.98;5485.53;5143.81;1404.55;1613.84;1454.22;1567.36;1600.14;74.96;542.7;1162.46;1206.19;1163.57;2293.38;2286.96;2330.27;2301.92;75.96;536.58;1921.97;1891.05;1723.92;1886.87;1923.04;1814.37;1957.46;1858.88;1707.23;1987.14;76.81;76.43;544.57;551.19;2346.05;2310.57;2336.26;2356.97;2389.94;2150.51;2281.39;2243.19;2238.04;2288.95;76.49;76.08;567.44;1047.68;1021.51;1036.35;1048.15;543;75.25;77.03;75.69
Cd111;28.36;29.63;29.19;282.77;2.3;2.14;1.01;<1.13;<0.57;<1.42;1.89;26.98;257.64;0.81;<0.35;0.97;1.32;1.46;1.65;1.41;27.44;258.37;0.43;0.79;9.17;<1.20;0.79;0.49;<0.49;1.12;0.32;1.75;27.08;27.66;253.42;263.37;32.09;1.61;0.83;<0.67;1.21;1.48;0.96;0.85;0.98;1.94;29.08;28.29;259.09;0.56;1.21;0.8;0.4;256.99;28.48;28.22;29.34
