Element;N612-1;N612-2;N612-3;N610-1;H14-G-6-1;H14-G-6-2;H14-G-6-3;H14-G-6-4;H14-G-6-5;N612-4;N610-2;H14-S-1-6;H14-S-1-7;H14-S-1-8;H14-S-1-9;H14-S-1-10;N612-5;N610-3;H18-G-2-11;H18-G-2-12;H18-G-2-13;H18-G-2-14;H18-G-2-15;H18-G-2-16;N612-6;N610-4;H14-G-3-17;H14-G-3-18;H14-G-3-19;H14-G-3-20;H14-G-3-21;H14-G-3-22;N612-7;N610-5;H14-D-1-23;H14-D-1-24;H14-D-1-25;H14-D-1-26;H18-S-2-27;H18-S-2-28;H18-S-2-29;H18-S-2-30;H18-S-2-31;N612-8;N612-9;N610-6;AS002-32;AS002-33;AS002-34;AS002-35;AS002-36;AS002-37;AS002-38;G-2-39;G-2-40;N612-10;N612-11;N610-7;H18-G-7-41;H18-G-7-42;H18-G-7-43;H18-G-7-44;95-2024-45;95-2024-46;95-2024-47;95-2024-48;95-2024-49;95-2024-50;N610-8;N610-9;N612-12;N612-13;N612-14
Ca43;85262,49;85262,49;85262,49;81475,9;285880,34;285880,34;285880,34;285880,34;285880,34;85262,49;81475,9;285880,31;285880,31;285880,34;285880,31;285880,34;85262,49;81475,9;285880,34;285880,34;285880,34;285880,34;285880,31;285880,34;85262,5;81475,91;285880,34;285880,31;285880,34;285880,31;285880,34;285880,31;85262,51;81475,91;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;85262,51;85262,51;81475,91;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;<301436.63;85262,51;85262,51;81475,91;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;285880,38;81475,91;81475,91;85262,51;85262,51;85262,51
Ca44;84773,03;85423,02;85754,41;93855,91;348812,22;351974,09;352258,97;315352,5;305158,63;85444,62;89963,03;318594,63;322370,66;321281,75;318039,69;312805,78;84196,16;89610,88;293376,75;280512,06;298963,38;344302,91;316031,56;325973,25;86017,93;93487,93;320450,38;305621,44;302004,38;295062,59;301517,88;308622,34;82832,09;89073,37;304279;292498,56;302529,97;310528,59;323548,5;295492,97;287286,72;304060,25;318607,69;86157,84;87174,67;85367,08;283379,88;289161;294731,19;306275,09;296666,91;301014,03;285518,28;208886,36;434048,09;86200,43;87353,5;88040,34;285959,88;270059,34;261675,33;276204,28;280516,69;294729,63;270198,19;280148,5;281460,19;281138,25;84855,65;86881,56;87198,15;82617,68;83390,09
Cr52;39,95;39,18;38,91;472,64;1,26;<0.98;<0.94;<0.65;0,95;40,98;479,72;<0.70;<0.94;<0.68;<0.67;<0.67;40,46;492,66;1,11;0,57;7,41;4,43;2,04;2,29;39,84;483,93;1,17;<0.66;<0.63;1,28;<0.64;1,11;40,21;483,98;<0.86;1,54;<0.95;<0.69;1,81;1,17;<0.67;1,74;2,32;39,74;40,72;489,61;3,36;2,02;1,4;<0.72;1,33;2,46;1,7;32,67;4978,22;39,77;40,43;482,59;1,65;3,73;2,69;<0.64;1,06;<0.74;<0.72;1,29;<0.70;<0.68;477,5;494,5;39,72;39,63;39,1
Ni60;40,24;38,5;37,72;464,45;<7.08;<6.32;<6.01;<4.29;<4.29;38,32;450,04;<4.68;<6.51;<4.74;5,19;<4.77;38,01;453,05;5,78;<4.13;14,36;<5.78;9,96;<5.87;38,72;434,78;<5.36;9,82;<4.86;<4.79;<4.85;<5.11;35,63;436,22;<7.08;<5.03;<7.59;7,63;8,39;<6.82;<5.39;<6.17;<6.47;38,55;39,67;435,84;<5.50;<5.20;<5.52;<5.87;<5.15;8,17;<5.35;<24.20;<4118.08;38,98;37,04;435,36;9,04;10,35;<4.73;<5.72;<6.03;<6.66;<6.31;<6.26;9,52;<6.11;432,4;443,56;40,64;38,17;38,35
Cu63;36,78;36,7;36,93;450,51;1,1;1,21;1,75;1,4;1,43;36,95;450,36;1,72;1,23;1,5;1,63;1,81;36,19;458,58;1,57;2,19;7,99;3,22;1,12;2,19;36,77;446,98;1;1,07;1,28;0,94;1,13;1,11;36,27;439,76;1,67;1,49;1,47;1,75;2,07;1,46;1,3;1,84;2,36;36,63;37,21;455,55;1,1;40,35;80,1;45,2;66,2;55,38;64,25;61,09;6369,03;36,05;37,17;448,69;2,49;9,15;1,25;1,48;2,12;1,37;1,58;4,57;2,13;3,2;457,01;459,98;36,82;38,21;35,5
Zn66;35,88;39;38,75;479,86;73,64;93,48;95,24;127,15;112,94;37,88;474,49;84,37;73,43;76,08;82,41;72,93;39,47;472,55;92,34;123,82;135,92;110,67;85,42;91,49;37,29;463,1;63,54;75,78;102,24;82,47;64,88;102,97;37,65;463,07;30,81;32,27;32,34;72,11;107,56;101,06;94,34;68,55;57,54;37,43;38,09;462,82;77,1;23,28;27,68;38,72;20,85;19,07;26,56;57,46;2137,88;37,28;38,7;463,18;104,64;75,01;87,47;86,99;10,18;12,42;12,44;17,52;13,2;15,34;463,35;458,95;39,9;37,44;36,86
As75;37,56;37,75;37,81;366,73;3,56;8,48;6,77;7,94;5,5;36,35;370,93;5,52;<4.65;6,97;7,35;6,13;37,39;378,21;9,05;8,4;15,97;21,5;12,35;19,27;35,13;375,2;9,36;9,1;6,74;9,76;8,12;9,2;38;367,61;12,18;9,6;13;15,35;14,46;8,38;12,12;20,82;16,59;38,34;38,36;364,72;8,37;24,01;24,92;11,41;26,56;22,73;20,57;115,97;2846,38;36,66;37,11;361,88;22,88;27,24;19,42;10,45;18,73;17,72;24,06;19,1;17,99;15,17;350,78;355,22;38,52;37,1;36,66
Sr87;77,77;77,5;76,09;865,16;835,94;854,5;819,14;870,94;850,41;75,19;842,74;505,57;559,06;539,72;564,75;537,43;75,73;851,9;737,1;707,66;690,41;705,02;804,52;725,31;74,73;822,02;821,3;828,09;830,8;832,48;797,47;803,48;74,75;824,93;543,79;529,59;554,24;526,63;761,63;782,99;783,08;738,55;784,43;76,83;76,23;853,15;757,68;3091,73;2826,7;1825,54;3146,68;3264,89;2816,19;2019,79;1594,83;75,92;73,64;852,07;744,43;744,67;736,64;750,65;4436,23;4521,75;4198,98;4311,87;4556,92;4283,82;862,87;867,49;76,87;78,28;76,9
Sr88;76,43;77,2;76,69;548,65;2210,41;2229,15;2248,7;2495,81;2537,93;76,18;552,81;1362,68;1498,73;1468,93;1499,83;1422,48;75,13;557,33;2267,61;2237,25;1934,84;1911,89;2317,39;2020;75,95;525,28;2282,83;2358,56;2434,08;2339,38;2305,03;2381,58;74,74;541,26;1433,32;1416,96;1496,51;1379,42;2127,28;2221,55;2361,32;2052,57;2065,09;76,67;76,31;542;2195,96;8417,43;7995,06;6363,41;8366,05;8685,05;7963,52;5404,33;3925,03;74,75;74,97;543,41;2002,8;1987,86;2112,51;2120,77;11537,05;12011,28;10884,43;11073,44;11185,07;11272,56;550,56;558,45;77,44;77,72;76,39
Cd111;28,96;29,27;27,89;275,03;0,78;0,71;1,29;1,01;0,56;27,16;272,91;0,33;0,69;0,96;0,75;0,87;27,12;276,2;0,73;0,43;0,43;1,82;1,49;0,89;28,81;274,22;1,26;1,18;1,24;1,48;1;1,06;30,25;260,48;0,4;1,07;1,17;0,7;0,98;1,33;1,47;0,83;1,04;28,25;28,11;263,01;1,52;2,62;1,84;3,24;1,77;2,14;2,27;3,52;<306.06;26,2;28,3;270;1;1,16;1,19;0,8;0,27;1,24;1,81;1,13;3,2;1,47;255,92;265,67;28,95;30,16;27,68
