Element;N612-1;N612-2;N612-3;N610-1;H14-G-6-1;H14-G-6-2;H14-G-6-3;H14-G-6-4;H14-G-6-5;N612-4;N610-2;H14-S-1-6;H14-S-1-7;H14-S-1-8;H14-S-1-9;H14-S-1-10;N612-5;N610-3;H18-G-2-11;H18-G-2-12;H18-G-2-13;H18-G-2-14;H18-G-2-15;H18-G-2-16;N612-6;N610-4;H14-G-3-17;H14-G-3-18;H14-G-3-19;H14-G-3-20;H14-G-3-21;H14-G-3-22;N612-7;N610-5;H14-D-1-23;H14-D-1-24;H14-D-1-25;H14-D-1-26;H18-S-2-27;H18-S-2-28;H18-S-2-29;H18-S-2-30;H18-S-2-31;N612-8;N612-9;N610-6;AS002-32;AS002-33;AS002-34;AS002-35;AS002-36;AS002-37;AS002-38;G-2-39;G-2-40;N612-10;N612-11;N610-7;H18-G-7-41;H18-G-7-42;H18-G-7-43;H18-G-7-44;95-2024-45;95-2024-46;95-2024-47;95-2024-48;95-2024-49;95-2024-50;N610-8;N610-9;N612-12;N612-13;N612-14
Ca43;2726,14;2727,16;2726,54;2611,77;9247,94;9355,32;9208,18;9171,21;9171,06;2731,73;2610,52;9189,76;9181,27;9175,78;9177,9;9178,32;2731,21;2613,81;9214,19;9350,48;9620,23;9419,85;9231,21;9289,69;2729,04;2614,26;9178,99;9179,73;9170,32;9173,02;9171,5;9173,89;2730,37;2615,81;9233,95;9170,37;9245,82;9191,41;9208,91;9187,52;9185,05;9202,5;9185,62;2734,03;2734,94;2615,56;9178,65;9172,1;9183,96;9190,62;9173,79;9181,75;9174,05;10495,16;377812,69;2730,85;2735,63;2619,22;9230,49;9247,21;9175,39;9186,51;9188,25;9201,77;9200,98;9196,43;9201,4;9188,76;2618,67;2619,71;2740,02;2737,12;2737,87
Ca44;3589,64;3609,79;3617,03;3955,79;14725,68;14900,5;14833,35;13261,46;12834,95;3594,11;3787,03;13438,54;13611,77;13584,69;13473,1;13279;3580,12;3821,6;12563,27;12100,61;13048,68;14978,92;13715,47;14224,28;3751,73;4096,48;14102,01;13506,92;13401,63;13153,42;13502,26;13886,2;3742,81;4047,09;13915,36;13419,98;13979,97;14401,83;15090,86;13847,06;13533,13;14406,33;15170,12;4122,63;4194,32;4130,58;13787,48;14143,95;14500,14;15153,72;14753,76;15055,69;14357,32;10907,1;413245,66;4405,26;4490,44;4552,45;14881;14135,8;13750,64;14596,6;14905,56;15749,83;14516,66;15130,58;15284,17;15344,1;4655,75;4792,35;4834,62;4603,74;4671,12
Cr52;1,61;1,58;1,57;18,81;0,53;0,6;0,45;0,33;0,34;1,66;19,23;0,37;0,4;0,35;0,34;0,34;1,67;20,1;0,36;0,41;0,86;0,63;0,41;0,5;1,69;20,34;0,36;0,34;0,32;0,32;0,32;0,34;1,77;21,14;0,44;0,33;0,49;0,36;0,43;0,38;0,34;0,39;0,41;1,86;1,91;22,91;0,39;0,35;0,35;0,37;0,33;0,36;0,35;3,01;4688,01;2;2,05;24,38;0,38;0,58;0,34;0,33;0,34;0,37;0,36;0,36;0,35;0,35;25,94;27,05;2,21;2,21;2,2
Ni60;2,39;2,31;2,26;26,57;3,34;3,83;2,92;2,2;2,2;2,36;26,33;2,46;2,77;2,39;2,44;2,43;2,43;27,64;2,57;3,04;4,97;3,97;2,91;3,46;2,61;28,33;2,7;2,69;2,49;2,45;2,45;2,56;2,61;30,74;3,6;2,54;3,84;2,89;3,32;3,04;2,75;2,94;3,11;3,14;3,27;34,96;2,77;2,59;2,79;2,95;2,66;2,87;2,67;16,46;7714,63;3,6;3,48;39,86;3,33;4,61;2,5;2,93;3,01;3,29;3,17;3,11;3,39;3,04;44,54;46,17;4,39;4,17;4,23
Cu63;1,5;1,5;1,51;18,17;0,21;0,25;0,21;0,17;0,18;1,53;18,39;0,19;0,19;0,18;0,18;0,2;1,53;19,16;0,2;0,27;0,71;0,37;0,19;0,29;1,61;19,37;0,15;0,17;0,18;0,17;0,18;0,18;1,66;19,96;0,22;0,18;0,26;0,21;0,24;0,21;0,2;0,24;0,25;1,81;1,85;22,47;0,17;2,11;4,14;2,4;3,48;2,96;3,43;4,23;5978,62;1,94;2,02;24,31;0,28;0,65;0,17;0,21;0,24;0,22;0,23;0,39;0,26;0,3;27,09;27,5;2,24;2,34;2,2
Zn66;2,17;2,35;2,34;27,93;4,94;6,39;6,08;7,84;7,03;2,34;28,15;5,48;4,82;4,98;5,38;4,84;2,5;29;6,2;8,58;10,13;8,04;5,94;6,53;2,48;29,98;4,53;5,36;7,12;5,86;4,72;7,34;2,66;32;2,71;2,63;2,88;5,55;8,2;7,74;7,3;5,51;4,68;2,92;3;35,75;6,34;2,19;2,57;3,48;2,03;1,94;2,54;8,08;2194,67;3,25;3,41;40,27;9,58;7,11;8,11;8,17;1,32;1,58;1,54;2;1,68;1,84;44,89;44,9;4,02;3,81;3,79
As75;2,76;2,78;2,78;26,55;1,46;1,81;1,33;1,11;1,01;2,72;27,05;1,25;2,55;1,23;1,25;1,24;2,82;27,99;1,33;1,62;2,7;2,7;1,63;2,27;2,72;28,47;1,39;1,37;1,23;1,35;1,3;1,42;3,02;28,82;1,86;1,44;2,06;1,83;1,95;1,59;1,66;2,26;2,03;3,22;3,23;30,34;1,39;2,45;2,57;1,67;2,68;2,46;2,24;14,01;3093,03;3,28;3,35;32,24;2,64;3,27;2,19;1,62;2,27;2,29;2,74;2,36;2,31;2,05;33,42;34,05;3,78;3,66;3,64
Sr87;3,11;3,1;3,05;34,26;33,51;34,6;32,86;34,9;34,17;3,06;33,89;20,61;22,82;22,11;23,21;22,19;3,16;35,19;30,85;30,11;30,18;30,46;34,38;31,33;3,24;35,44;35,78;36,3;36,63;36,95;35,64;36,16;3,42;37,53;25,19;24,59;26,08;24,87;36,2;37,45;37,76;35,95;38,44;3,83;3,83;42,71;38,4;157,46;145,29;94,75;164,56;172,31;149,96;113,11;1528,46;4,19;4,11;47,51;42,11;42,54;42,34;43,57;259,08;266,64;249,96;259,09;276,43;262,29;53,35;54,15;4,89;5,02;4,98
Sr88;2,76;2,79;2,77;19,81;80,19;81,37;81,62;90,56;92,24;2,78;20,16;49,88;54,95;53,97;55,25;52,55;2,79;20,7;84,63;84,29;74,04;72,77;87,78;77,01;2,9;20,09;87,69;91;94,31;91,07;90,16;93,63;2,96;21,5;57,38;56,89;60,59;56,05;86,96;91,27;97,58;85,39;86,38;3,24;3,24;23,1;94,18;363,19;347,38;278,41;368,31;385,06;355,44;252,67;3678,29;3,42;3,45;25,15;93,47;93,49;99,88;101,04;553,61;580,88;530,34;543,57;553,29;561,71;27,65;28,27;3,96;4;3,97
Cd111;2,03;2,06;1,97;18,69;0,29;0,35;0,35;0,26;0,19;1,99;19,13;0,22;0,21;0,24;0,21;0,23;2,07;20,37;0,26;0,28;0,37;0,59;0,37;0,34;2,34;21,8;0,32;0,29;0,29;0,33;0,26;0,27;2,67;22,64;0,25;0,32;0,36;0,24;0,29;0,35;0,36;0,27;0,28;2,85;2,87;26,48;0,35;0,48;0,41;0,59;0,39;0,45;0,45;1,72;296,55;3,06;3,35;31,65;0,34;0,36;0,32;0,31;0,17;0,35;0,44;0,33;0,68;0,39;34,44;36,19;4,06;4,27;3,98
